,corrected
0,أكثر من تخصص . الحمد لله الذي وفقني لدراسة الشرعية في جامعة الإمام محمد بن سعود ، الإسلامية فأنا الآن أدرس في المستوى الثاني من قسم اللغة العربية ، والعلوم الإسلامية وأريد - الالتحاق بكلية الشريعة . إن شاء الله - واختيار الناس لهذه الكلية قد يختلف من شخص إلى آخر ، قد يختارها البعض من أجل من ، وظيفة يحصل عليها بعد ؛ انتهائه الكلية والبعض ، الآخر يختار هذه الكلية لأن والديه يريدان ذلك والآخر الله يختارها ، لحفظ دين الله ، وشريعته ، فأرجو أن يوفقنا لأفضل اختيار  وإخلاص النية له وللعمل الصالح . واخترت هذه الكلية كي أتعلم ديني الذي - هو لحمي ودمي - . هذا وهذا العلم معروف شأنه في ، ، كتاب الله وسنة رسوله صلى الله عليه وسلم ؛ لأن العلم ، يهدي الإنسان إلى الخير والتقوى والعمل الصالح ، وبهذا العلم أريد رفع الجهل عن نفسي وعن غيري وأكون كالرعيل الأول من الصحابة والتابعين ؛ لأنهم بالعلم الشرعي والعمل الصالح الناتج عنه كانوا صالحين مع أنفسهم ؛ ومصلحين لغيرهم ، فهم قدوة لنا ؛ ، ولذلك تعلم الشريعة ليس تخصصا فقط بل هو أكثر من ذلك لأنه متعلق بدين المسلم وسلوكه في هذه الحياة وهو سفينة نجاته .
1,رحلة إلى أبها . قمنا برحلة إلى أبها ، وكنا تسعة أشخاص . كان موعد تجمعنا في ملعب إسكان الطلاب الساعة 9 : 15 . وبعد ذلك انطلقنا إلى مطار الملك خالد بالرياض . عند وصولنا إلى المطار ، ركبنا الطائرة إلى أبها . ولما وصلنا إلى ، أبها جاء رجلان لاستقبالنا ، ثم ، بعد . السلام نقلوننا بالحافلة كانت ، في الطريق إلى الفندق أبها فيها مناظرا جميلة ، شاهدت القرون في الطريق والجبال ، وذهبنا - لزيارة - جامعة الملك خالد . الجامعة ما شاء الله جميلة جدا . أشكر العمداء لقيامهم بهذه الرحلة ، جزاهم الله خيرا .
2,دراستي في كلية أصول . الدين عندي رغبة شديدة في دراسة ؛ أصول الدين لأن كمبوديا هي دولة بوذية وبحاجة ماسة إلى علم صحيح ، مع عقيدة سلفية وأيضا هم في ، ، منطقتي ، أغلب الناس أهل صوفية وأشاعرة وأهل خرفات ، هؤلاء ينشرون عقيدتهم الغير صحيحة ، إلى بعض المسلمين وأريد أن ؛ أرشدهم إلى عقيدة سليمة ولكني لا أستطيع أن أفعل ذلك لأنني مازلت في معهد تعليم اللغة العربية ؛ ولذلك - أرجو - أن أدرس ، في ، هذه الكلية الجميلة بإذن الله تعالى . وصلى الله على نبينا محمد وعلى آله وصحبه أجمعين .
3,أحلامي هي البنك الإسلامي . إنني أفضل كلية الاقتصاد يكون أن على ( فيها بنكا إسلاميا ) ؛ لأنني أريد أن يرى العالم أن أنظر عالما إسلاميا في المستقبل ، ، . في الدعوة الإسلامية وفي الشريعة وفي أصول الدين قد شارك كثير من الطلاب والعلماء ، ، إنهم يهتمون بنشر الإسلام في أحكامه وحل المشاكل بين الناس باعتبار الإسلام . هناك يوجد كثير من المراكز الإسلامية لنشر الدعوة الإسلامية للمسلمين وغيرهم ، وهذا مجال متوفر ولا ، سيما في بلدنا سريلانكا ؛ ولهذا الآن يحتاج ، ، ، بلدي إلى فن مختلف إسلامي ، في الاقتصاد والسياسة والمهن وغير ذلك من الفنون لأنه التي لا تعد ولا تحصى ؛ ولهذا أنا اخترت أنا البنك الإسلامي مناسب ، ، لبلدنا ، فهناك توجد من كثير ، من البنوك  فيها الكثير من الظلم والرباء وخداع للناس . أنا أتعلم البنك الإسلامي وأشتغل فيه دعوة إلى الله .
4,"رحلة إلى القرية لزيارة ذوي القربى . اعتدت الذهاب إلى قريتي في الإجازات ، الصيفية الموجودة في غرب بلدي المسمى ببوركينا فاسو . تسمى قريتي ساغابتنفا ، قمت برحلة إليها في الإجازة ، الصيفية الماضية وكانت من أمتع الرحلات التي رحت إليها وأفضلها ، فبعد أن قررت الرحيل إليها ، اتصلت بمن فيها من سادة القوم وكبارهم ، فسروا وفرحوا  لما سمعوا مني ، ما من يسر أفئدتهم ولما طال فراق بيننا بسبب طلب ، العلم والسير في الأرض لأجله فازددت ، همة في المسير ، لما سمعته في وإقداما ولحب أهل القرية تجاهي فخرجت إلى طريقي الخامس عشر من رمضان متجها إلى القرية ، فوصلت إليها في يومه ، فأكرموني ، له وطبخوا لي طعاما شهيا تاق إليه قلبي قبل تذوقي ثم قدموني إماما ، , فصليت بهم الظهر ونمت بعدها ، فلما ، استيقظت العصر وصليت جاؤوني ، سائلين عن أهل المدينة ومن تركتهم في المدينة ثم سألوني عن السعودية وأهلها وكيف وجدتها ومن فيها ؟ ، فأجبتهم بما تيسر لي أن ، أجيبهم ، ثم عقدوا لي مجلسا أدرس ، فيه القرآن واعظا فيه الناس بما تيسر لي وبما تعلمته من العقيدة الصحيحة من أساتذتي الفضلاء فبقيت على هذا أكثر من حين حتى عدت إلى المدينة ."
5,"أحب كلية أصول الدين . كلمة أصول الدين تعني أصول ، الإسلام ولا بد لنا أن نعرف عن الدين - وسنة النبي صلى . - الله عليه أدرس ؛ فيها أن وسلم وهذه ، الكلية ، التي أحب ، فيها لأن علم الأصول بجميع أنواعه والدين الإسلامي وإن شاء ، الله لو فهمنا جيدا  الدين سيجعلنا ، سليمي العقيدة وموحدين الله وحده . فإذا كنا سليمي ؛ العقيدة ولا نشرك بالله تعالى فإذا هذا ؛ الذي يريد الناس حقيقة أحب كلية أصول الدين لأنني ، أريد أن ، يجعلنا من المسلمين السليمي العقيدة لأن . في بلدنا ، كثير من الناس لا يفهمون  العقيدة وهم لا يدرسون ، وأردت أن أدرسهم ليفهموا ،  العقيدة الصحيحة وإن شاء ، الله لو كان هناك فرصة ، سأكون مدرسا في ، علم العقيدة في بلادنا إن شاء . الله . وأخيرا أشكر الله تعالى على كل شيء وعلى ما قدر الله تعالى لنا وأشكر الله على حضوركم "" والسلام عليكم ورحمة الله وبركاته """
6,"التخصص في الشريعة . الحمد ، لله والسلام على خليل الله ، وعلى آله وأصحابه إلى يوم الساعة . أما بعد : أريد أن أتخصص في ، علوم الشريعة أولا ؛ لأن بلدي  أفغانستان  وأهلها  بعيدون ويحتاجون إلى تعليم العلم الشرعي ، وهذا من أمنياتي أن أدعو الناس كافة إلى كتاب الله وسنة رسوله - صلى الله . عليه وسلم - وأرجو من الله أن يدخلني تحت قول رسول الله - صلى : الله عليه وسلم - "" خيركم . من تعلم القرآن وعلمه "" وأن أقضي عمري في إصلاح الناس ، وغير ذلك ، وبالله التوفيق ."
7,طالب العلم في المسجد . إن مما يحمد للمسلم عامة ولطالب العلم خاصة  حرصه على أن يكون من السابقين إلى ، الجمعة والجماعة ، والمحافطة على الصف الأول ، ويتأكد هذا الحرص في طالب العلم  لكونه قدوة للآخرين ، وحتى يطابق ، فعله قوله فحقيق بطالب العلم أن يحث الناس على ، التبكير إلى . المسجد ويحذرهم من التأخير فاحرص - رعاك الله - أن تكون مثل طالب العلم المتصف بصفات السلف ، ، الصالح ، كالحرص على الجمعة . والجماعة والمسارعة إلى المسجد عند سماع النداء وفي ترجمة إبراهيم بن ميمون الصائغ قال عنه ابن معين : . كان : إذا رفع المطرقة فسمع النداء لم يردها ، وقال الشعبي { ما دخل وقت صلاة حتى أشتاق إليها وقال أيضا : . } { ما - أقمت الصلاة : - منذ أسلمت  إلا وأنا على وضوء وقول . } . إبراهيم بن يزيد رحمه الله تعالى إذا رأيت الرجل يتهاون في التكبيرة الأولى فاغسل يدك منه وإلى آخره
8,عندي رغبة شديدة في كلية أصول الدين . الحمد لله رب ، العالمين والصلاة والسلام على ، رسول الله وعلى . آله وصحبه أجمعين ، وبعد ، ، السلام عليكم ورحمة الله وبركاته وأتشرف بالإفادة بأني ، ، معلومة شخصية محذوفة ، كمبودي الجنسية مولود بتاريخ ، معلومة شخصية محذوفة ، ، في محافظة تاكيو . يا شيخي الفاضل لدي رغبة شديدة في مواصلة الدراسة في كلية ؛ أصول الدين بجامعة الإمام محمد عنها بن ، سعد الإسلامية لأن هذه الجامعة الطيبة قد سمعت من أصدقائي قالوا أن التعليم في تخصص أن أصول الدين ، بشكل ممتاز ؛ جدا على الطريق السلفي ؛ ولذا أتمنى تتحقق رغبتي تأتى قريبا إن شاء الله لأن منطقة تاكيو بحاجة ماسة إلى من يرشدهم إلى عقيدة سلفية ؛ لأن الناس فيها جهلاء ليس لهم علما متعلقا بالعقيدة ، علما ، بأن مملكة كمبوديا هي مملكة بوذية وعدد المسلمين قليل جدا حوالي ستة في المائة ولذا عدد العلماء قليل أيضا . ختاما : أدعو الله ، أن يوفق القائمين على هذه ، الأعمال والمشاركين في التعليم ، وأن يحقق الآمال المرجوة منها إنه سميع مجيب . والسلام عليكم ورحمة الله وبركاته .
9,"الرحلة إلى مكة للعمرة . كنت مع في أصدقائي الرحلة إلى مكة للعمرة كانت ، لأداء ؛ وهذه أول مرة العمرة لأنني ما اعتمرت وما حججت من هو من قبل . ومكتب الدعوة ينظم هذه الرحلة ، وأحد الطلاب القدامى اسمه عيسى ، رئيس في هذه الرحلة ، وهو يخدمنا ويشرح لنا ، بعض المعلومات الدينية وبعض المعلومات الدنيوية ، ويشجع ويحث من  الطلاب الذين اشتركوا في هذه الرحلة أن ، يستفيدوا البرنامج ليزول تعب السفر . الطلاب مسرورون بهذه الرحلة وهم ناشطون وفرحون . عندما ذهبنا ، إلى الميقات قرب المنازل , ، اغتسلنا وتطيبنا للإحرام ، وبعد الغسل نوينا العمرة وقلنا : لبيك عمرة ثم ذهبنا إلى مكة المكرمة وكبرنا : لبيك اللهم ، لبيك ، لبيك لا شريك لك لبيك ، ، إن الحمد ، والنعمة ، لك والملك لا شريك ، لك مرارا وتكرارا . بعد نصف ساعة أن وصلنا ، إلى الفندق أفطرنا فيه ثم توجهنا إلى الكعبة مباشرة بعد عشر دقائق وصلنا إلى الكعبة . قبل في ، نبدأ العمرة الرئيس ، ، ، عيسى قسم الطلاب إلى أقسام ، في كل قسم قسم فيها طالب قديم واحد أو أكثر أو كثر ، طالب قديم يساعد الطلاب الجدد العمرة ويشرح لهم كيفية العمرة وآدابها وأركانها وإلى غير ذلك ، ثم بدأنا العمرة ، : طواف حول الكعبة سبعة أشواط بعدها صلينا ركعتين خلف مقام إبراهيم ، وبعدها سعينا بين الصفا والمروة سبعة أشواط مع الدعاء إلى الله وجهة الكعبة وفي الأخير حلق الشعر أو تقصيره ."
